Region,Population
Abruzzo,1307919
Basilicata,575902
South Tyrol,530009
Calabria,1980533
Campania,5869029
Emilia-Romagna,4446220
Friuli Venezia Giulia,1216524
Lazio,5897635
Liguria,1557533
Lombardy,10078012
Marche,1541692
Molise,308493
Piemont,4377941
Apulia,4063888
Sardinia,1651793
Sicily,5029615
Tuscany,3742437
Trentino-Alto Adige,1070340
Umbria,889001
Aosta Valley,126933
Veneto,4865380
